external_id,title,company,domain_tag,total_skills,core_count
242362,Development Technician VIE (HR) (H/F),HUTCHINSON,hr,2,0
238350,Commercial Operations Associate (H/F),TISSIUM,supply,2,0
232827,INGENIEUR INSTRUMENTATION (H/F),EXTIA,engineering,2,0
238436,INGÉNIEUR HSE HF (H/F),PONTICELLI FRERES,engineering,2,0
238032,Sales & Business Development (H/F),NUCLEON-SECURITY,sales,2,0
238310,INGÉNIEUR COORDINATION (H/F),S T I B,engineering,2,0
238425,INTERNATIONAL BUSINESS DEVELOPPER (H/F),HEF MECANIQUE ET SURFACES,sales,2,0
242098,Coordinateur technique (H/F),ECM TECHNOLOGIES,engineering,2,0
237233,Chargé de missions productions maraichère et fruitière (H/F),UNION BANANIERE AFRICAINE,finance,2,0
241004,CQV Engineer - Life Sciences (H/F),ALTRAN TECHNOLOGIES,engineering,2,0
242449,Junior Buyer (H/F),PAYFIT,supply,2,0
238049,"V.I.E. – Project Coordinator – Edmonton, CANADA- (H/F)",VINCI CONSTRUCTION SERVICES PARTAGES,data,2,0
242435,Gestionnaire/administrateur(trice) de contrats F/H (H/F),ORANO MINING,admin,2,0
238307,BUSINESS MANAGER PAYS-BAS (H/F),ALDEBARAN GROUP,sales,2,0
242263,Trésorier (H/F),TOTALENERGIES RAFFINAGE CHIMIE,finance,2,0
242202,SERVICES CREDIT MANAGER FOR LATIN AMERICA (H/F),AIRBUS OPERATIONS,finance,2,0
237223,Product Owner (H/F),SOCIETE POUR L'INFORMATIQUE INDUSTRIELLE,other,2,0
237036,Business Development Representative (H/F),SCALEWAY,sales,2,0
242468,Responsable Reporting & data - VIE Madrid (H/F),KIMPA,data,2,0
239998,PROJECT MANAGEMENT OFFICER AERONAUTIQUE (H/F),SCALIAN,supply,2,0
242450,VIE - Operations Oversight Officer (12 months) (H/F),AMUNDI ASSET MANAGEMENT,operations,2,0
236538,Strategic Account Executive (H/F),J2S3,hr,2,0
242103,CONTROLEUR DE GESTION (H/F),ALTIOS FRANCE,finance,2,0
